,neighbor_burning,neighbor_birth,alea_burning,Green_proportion
781,70,80,10,0.42
782,70,80,20,0.3746875
783,70,80,30,0.3571875
784,70,80,40,0.320625
785,70,80,50,0.31359375
786,70,80,60,0.30078125
787,70,80,70,0.29375
788,70,80,80,0.26578125
789,70,80,90,0.25578125
790,70,90,0,0.99109375
791,70,90,10,0.4525
792,70,90,20,0.41046875
793,70,90,30,0.36578125
794,70,90,40,0.35859375
795,70,90,50,0.32140625
796,70,90,60,0.315
797,70,90,70,0.295
798,70,90,80,0.27515625
799,70,90,90,0.2759375
800,80,0,0,0.05078125
801,80,0,10,0.0
802,80,0,20,0.0
803,80,0,30,0.0
804,80,0,40,0.0
805,80,0,50,0.0
806,80,0,60,0.0
807,80,0,70,0.0
808,80,0,80,0.0
809,80,0,90,0.0
810,80,10,0,0.88796875
811,80,10,10,0.0121875
812,80,10,20,0.0
813,80,10,30,0.0
814,80,10,40,0.0
815,80,10,50,0.0
816,80,10,60,0.0
817,80,10,70,0.0
818,80,10,80,0.0
819,80,10,90,0.0
820,80,20,0,0.90140625
821,80,20,10,0.24828125
822,80,20,20,0.18
823,80,20,30,0.1540625
824,80,20,40,0.11078125
825,80,20,50,0.0878125
826,80,20,60,0.06734375
827,80,20,70,0.0375
828,80,20,80,0.01703125
829,80,20,90,0.01125
830,80,30,0,0.9165625
831,80,30,10,0.294375
832,80,30,20,0.2525
833,80,30,30,0.2165625
834,80,30,40,0.19109375
835,80,30,50,0.1659375
836,80,30,60,0.158125
837,80,30,70,0.14890625
838,80,30,80,0.13421875
839,80,30,90,0.123125
840,80,40,0,0.93046875
841,80,40,10,0.341875
842,80,40,20,0.291875
843,80,40,30,0.26359375
844,80,40,40,0.2359375
845,80,40,50,0.21890625
846,80,40,60,0.2034375
847,80,40,70,0.1884375
848,80,40,80,0.17375
849,80,40,90,0.159375
850,80,50,0,0.94
851,80,50,10,0.34828125
852,80,50,20,0.30703125
853,80,50,30,0.27171875
854,80,50,40,0.26234375
855,80,50,50,0.24203125
856,80,50,60,0.22
857,80,50,70,0.215
858,80,50,80,0.20171875
859,80,50,90,0.18953125
860,80,60,0,0.9525
861,80,60,10,0.37484375
862,80,60,20,0.3378125
863,80,60,30,0.295625
864,80,60,40,0.27953125
865,80,60,50,0.25328125
866,80,60,60,0.2428125
867,80,60,70,0.2396875
868,80,60,80,0.23546875
869,80,60,90,0.2196875
870,80,70,0,0.96671875
871,80,70,10,0.3771875
872,80,70,20,0.33734375
873,80,70,30,0.328125
874,80,70,40,0.2775
875,80,70,50,0.29234375
876,80,70,60,0.27890625
877,80,70,70,0.260625
878,80,70,80,0.2396875
879,80,70,90,0.230625
880,80,80,0,0.979375
881,80,80,10,0.38546875
882,80,80,20,0.37265625
883,80,80,30,0.34203125
884,80,80,40,0.30546875
885,80,80,50,0.3071875
886,80,80,60,0.2921875
887,80,80,70,0.2565625
888,80,80,80,0.2546875
889,80,80,90,0.23828125
890,80,90,0,0.99
891,80,90,10,0.39625
892,80,90,20,0.3615625
893,80,90,30,0.34328125
894,80,90,40,0.32265625
895,80,90,50,0.31578125
896,80,90,60,0.31078125
897,80,90,70,0.2696875
898,80,90,80,0.26859375
899,80,90,90,0.24953125
900,90,0,0,0.05078125
901,90,0,10,0.0
902,90,0,20,0.0
903,90,0,30,0.0
904,90,0,40,0.0
905,90,0,50,0.0
906,90,0,60,0.0
907,90,0,70,0.0
908,90,0,80,0.0
909,90,0,90,0.0
910,90,10,0,0.8946875
911,90,10,10,0.00484375
912,90,10,20,0.0
913,90,10,30,0.0
914,90,10,40,0.0
915,90,10,50,0.0
916,90,10,60,0.0
917,90,10,70,0.0
918,90,10,80,0.0
919,90,10,90,0.0
920,90,20,0,0.90484375
921,90,20,10,0.204375
922,90,20,20,0.168125
923,90,20,30,0.14234375
924,90,20,40,0.10484375
925,90,20,50,0.078125
926,90,20,60,0.05140625
927,90,20,70,0.0409375
928,90,20,80,0.01203125
929,90,20,90,0.016875
930,90,30,0,0.91328125
931,90,30,10,0.27734375
932,90,30,20,0.2446875
933,90,30,30,0.2053125
934,90,30,40,0.1871875
935,90,30,50,0.17359375
936,90,30,60,0.15359375
937,90,30,70,0.14640625
938,90,30,80,0.1296875
939,90,30,90,0.12046875
940,90,40,0,0.9346875
941,90,40,10,0.29796875
942,90,40,20,0.26171875
943,90,40,30,0.24984375
944,90,40,40,0.2053125
945,90,40,50,0.1996875
946,90,40,60,0.189375
947,90,40,70,0.175625
948,90,40,80,0.17328125
949,90,40,90,0.16671875
950,90,50,0,0.94203125
951,90,50,10,0.31125
952,90,50,20,0.2990625
953,90,50,30,0.26296875
954,90,50,40,0.24640625
955,90,50,50,0.2378125
956,90,50,60,0.2246875
957,90,50,70,0.2003125
958,90,50,80,0.20828125
959,90,50,90,0.18953125
960,90,60,0,0.95296875
961,90,60,10,0.34484375
962,90,60,20,0.29265625
963,90,60,30,0.2925
964,90,60,40,0.2515625
965,90,60,50,0.23390625
966,90,60,60,0.23703125
967,90,60,70,0.24703125
968,90,60,80,0.22125
969,90,60,90,0.22859375
970,90,70,0,0.9653125
971,90,70,10,0.35078125
972,90,70,20,0.31375
973,90,70,30,0.29875
974,90,70,40,0.29109375
975,90,70,50,0.2625
976,90,70,60,0.26125
977,90,70,70,0.24390625
978,90,70,80,0.22796875
979,90,70,90,0.236875
980,90,80,0,0.98296875
981,90,80,10,0.3609375
982,90,80,20,0.3378125
983,90,80,30,0.30140625
984,90,80,40,0.30015625
985,90,80,50,0.27390625
986,90,80,60,0.28921875
987,90,80,70,0.25125
988,90,80,80,0.25859375
989,90,80,90,0.23296875
990,90,90,0,0.98953125
991,90,90,10,0.3653125
992,90,90,20,0.349375
993,90,90,30,0.348125
994,90,90,40,0.318125
995,90,90,50,0.2834375
996,90,90,60,0.300625
997,90,90,70,0.2684375
998,90,90,80,0.25015625
999,90,90,90,0.24625
